gene_symbol,n_groups,mean_log2FC
Ndufa8,5,0.26369271115731213
Rpl38,5,0.1992431599919057
Pgm2l1,5,-0.09054094161783291
Opa1,5,-0.14120469315319195
Ptov1,5,1.176503913288529
Ndufb1,5,0.3371773028819774
Plekhm3,5,-0.24161971651451636
Aff4,5,0.09403354185376721
Plekhj1,5,0.18648419448727746
Nxt2,5,-0.2999199033268588
Pdpk1,5,-0.10703144199563364
Rps20,5,-0.14936097313687288
Rps21,5,0.28761581370172934
Ndufb10,5,0.08936022772769059
Ptp4a1,5,0.07144848751817162
Alkbh6,5,-0.07557404866607846
Ndufab1,5,-0.02297588157718212
Pum2,5,-0.2439817140980456
Rnf13,5,-0.1839814585439256
Zfp638,5,-0.13293566421620787
Arhgef17,5,-0.07209890784713414
Rps16,5,0.22209856704092867
Arhgef12,5,0.2143038603878549
Pfn1,5,0.16023401723119043
Rpl4,5,0.01108835790549792
Plekho2,5,-0.2767302695973575
Ptprf,5,0.12024633701980673
Pcdhga4,5,0.33049807082624527
Ogdh,5,0.05908504456208994
Garem1,4,-0.009401462041050523
Foxn2,4,-0.16129134647626422
Gapdh,4,0.13710868105728305
Gan,4,0.7268858304111498
Rbx1,4,-0.17291738308611934
Thoc1,4,-0.0367428970158291
Gclc,4,-0.05667698110174566
Plcl2,4,0.2883861985134696
Timm9,4,0.022931658432273475
Fos,4,-0.24676987450297214
Galnt13,4,-0.12403190253691772
Rfx7,4,-0.17693910213649977
Fosb,4,0.09054448398851
Thra,4,0.2574759477202513
Polr2i,4,0.06282854403727835
Rgcc,4,-0.005819710096205494
Fyco1,4,-0.2264159143997028
Galk1,4,0.338866846738775
Rfwd3,4,-0.10636595726771728
Fxr1,4,-0.06932735288960244
Rexo5,4,4.672922506271064
Fzr1,4,0.17579673600862722
G2e3,4,-0.21430279072387415
Rexo1,4,0.06029406381793648
Thap2,4,-0.17637902003085953
Thtpa,4,0.20646384443417812
Gabarapl1,4,0.15066735037173248
Fus,4,0.37277162512386075
Fundc1,4,-0.27599091338984116
Pld3,4,0.16510845465475257
Gabpa,4,-0.2859602624483316
Ftx,4,-0.4652365026268638
Thsd7a,4,0.20076924340984909
Retreg1,4,-0.23364268266987587
Fyn,4,1.126233991265288
Plppr5,4,-0.2718721652725846
Plxdc2,4,-0.05985877345288067
Gabra2,4,-0.38631460185183936
Rell2,4,0.11904746726212738
Plxna4,4,0.9166143303139588
Gabrb2,4,-0.17583648771415766
Pmm1,4,0.28362235837844535
Pnrc2,4,-0.15520112675389902
Gabrg1,4,-0.3607193874977331
Gabrg2,4,-0.3689811039832831
Podxl2,4,0.36318844429813374
Gadd45gip1,4,0.15027111135150398
Gak,4,-0.02573226397190831
Myo9a,4,0.29959404774449105
Tchp,4,0.21319544662846943
Pkig,4,0.12941787982632721
Pex16,4,0.29720831652213137
Rmnd5a,4,-0.2090893254055694
Gnai1,4,0.11903464608713346
Stxbp1,4,-0.2995359901396378
Pfdn1,4,0.14707330156217346
Pfdn6,4,0.4111550399402293
Stxbp5,4,0.0035781971527813275
Gmppa,4,0.17580334621286747
Stxbp5l,4,0.6859963941124754
Pfkp,4,0.04044713953327333
Styx,4,-0.24174080589158584
Riok3,4,-0.17802610772511335
Sugp1,4,0.3042056248959653
Pgf,4,0.32341200125089464
Sumf2,4,0.244081826458629
Sumo1,4,-0.28845321752156844
Rint1,4,0.01366092693768517
Sumo3,4,0.016424005170602492
Supt4a,4,0.10309208378466897
Swi5,4,0.19974645224294446
Gm5141,4,-1.2554368586692681
